city,pollutant,year,expected_hours,rows_in_file,non_null_readings,pct_missing,min_value,max_value,n_impossible,pct_impossible_of_readings
Chennai,Benzene,2019,8760,8760,8754,0.07,0.0,34.77,0,0.0
Chennai,Benzene,2020,4369,4369,4369,0.0,0.0,90.15,0,0.0
Chennai,CO,2015,8759,8759,8613,1.67,0.01,44.74,0,0.0
Chennai,CO,2016,8784,8784,7857,10.55,0.0,46.8,0,0.0
Chennai,CO,2017,8760,8760,8706,0.62,0.0,20.12,0,0.0
Chennai,CO,2018,8760,8760,8756,0.05,0.0,7.53,0,0.0
Chennai,CO,2019,8760,8760,8758,0.02,0.18,3.26,0,0.0
Chennai,CO,2020,4369,4369,4369,0.0,0.22,3.11,0,0.0
Chennai,NH3,2015,8759,8759,8338,4.81,0.62,499.97,0,0.0
Chennai,NH3,2016,8784,8784,4227,51.88,0.01,483.63,0,0.0
Chennai,NH3,2017,8760,8760,1994,77.24,4.16,497.95,0,0.0
Chennai,NH3,2018,8760,8760,8476,3.24,0.23,469.28,0,0.0
Chennai,NH3,2019,8760,8760,8043,8.18,0.01,416.96,0,0.0
Chennai,NH3,2020,4369,4369,4358,0.25,0.15,275.45,0,0.0
Chennai,NO,2015,8759,8759,8671,1.0,1.08,201.55,0,0.0
Chennai,NO,2016,8784,8784,7824,10.93,0.04,68.65,0,0.0
Chennai,NO,2017,8760,8760,8576,2.1,0.01,165.33,0,0.0
Chennai,NO,2018,8760,8760,8755,0.06,1.53,145.76,0,0.0
Chennai,NO,2019,8760,8760,8758,0.02,0.77,202.49,0,0.0
Chennai,NO,2020,4369,4369,4369,0.0,0.26,86.24,0,0.0
Chennai,NO2,2015,8759,8759,8644,1.31,2.74,472.53,0,0.0
Chennai,NO2,2016,8784,8784,7826,10.91,0.05,107.78,0,0.0
Chennai,NO2,2017,8760,8760,8584,2.01,0.22,179.48,0,0.0
Chennai,NO2,2018,8760,8760,8755,0.06,5.09,204.61,0,0.0
Chennai,NO2,2019,8760,8760,8758,0.02,3.8,150.43,0,0.0
Chennai,NO2,2020,4369,4369,4369,0.0,1.78,50.58,0,0.0
Chennai,NOx,2015,8759,8759,8667,1.05,0.9,174.31,0,0.0
Chennai,NOx,2016,8784,8784,7838,10.77,0.0,243.52,0,0.0
Chennai,NOx,2017,8760,8760,8611,1.7,0.0,169.01,0,0.0
Chennai,NOx,2018,8760,8760,8756,0.05,0.0,256.47,0,0.0
Chennai,NOx,2019,8760,8760,8758,0.02,4.96,231.55,0,0.0
Chennai,NOx,2020,4369,4369,4369,0.0,5.2,93.96,0,0.0
Chennai,O3,2015,8759,8759,8312,5.1,0.01,198.37,0,0.0
Chennai,O3,2016,8784,8784,7640,13.02,0.36,188.77,0,0.0
Chennai,O3,2017,8760,8760,8578,2.08,0.11,185.2,0,0.0
Chennai,O3,2018,8760,8760,8730,0.34,1.25,163.58,0,0.0
Chennai,O3,2019,8760,8760,8754,0.07,1.21,196.1,0,0.0
Chennai,O3,2020,4369,4369,4369,0.0,0.14,135.76,0,0.0
Chennai,PM10,2015,8759,8759,0,100.0,,,0,
Chennai,PM10,2016,8784,8784,0,100.0,,,0,
Chennai,PM10,2017,8760,8760,0,100.0,,,0,
Chennai,PM10,2018,8760,8760,0,100.0,,,0,
Chennai,PM10,2019,8760,8760,3391,61.29,0.05,461.51,0,0.0
Chennai,PM10,2020,4369,4369,2418,44.66,0.01,986.62,0,0.0
Chennai,PM2.5,2015,8759,8759,6570,24.99,0.02,846.68,0,0.0
Chennai,PM2.5,2016,8784,8784,7836,10.79,0.4,517.97,0,0.0
Chennai,PM2.5,2017,8760,8760,8587,1.97,0.34,999.99,0,0.0
Chennai,PM2.5,2018,8760,8760,8756,0.05,4.0,453.36,0,0.0
Chennai,PM2.5,2019,8760,8760,8758,0.02,1.51,505.06,0,0.0
Chennai,PM2.5,2020,4369,4369,4369,0.0,0.8,428.37,0,0.0
Chennai,SO2,2015,8759,8759,8612,1.68,0.04,139.34,0,0.0
Chennai,SO2,2016,8784,8784,7833,10.83,0.08,141.26,0,0.0
Chennai,SO2,2017,8760,8760,8581,2.04,0.03,134.07,0,0.0
Chennai,SO2,2018,8760,8760,8756,0.05,0.22,89.54,0,0.0
Chennai,SO2,2019,8760,8760,8758,0.02,0.21,90.98,0,0.0
Chennai,SO2,2020,4369,4369,4369,0.0,0.91,63.12,0,0.0
Chennai,Toluene,2015,8759,8759,1771,79.78,0.01,265.98,0,0.0
Chennai,Toluene,2016,8784,8784,7150,18.6,0.0,180.13,0,0.0
Chennai,Toluene,2017,8760,8760,8683,0.88,0.0,136.98,0,0.0
Chennai,Toluene,2018,8760,8760,8607,1.75,0.0,104.33,0,0.0
Chennai,Toluene,2019,8760,8760,8754,0.07,0.0,85.35,0,0.0
Chennai,Toluene,2020,4369,4369,4369,0.0,0.0,12.13,0,0.0
Chennai,Xylene,2015,8759,8759,0,100.0,,,0,
Chennai,Xylene,2016,8784,8784,0,100.0,,,0,
Chennai,Xylene,2017,8760,8760,0,100.0,,,0,
Chennai,Xylene,2018,8760,8760,0,100.0,,,0,
Chennai,Xylene,2019,8760,8760,0,100.0,,,0,
Chennai,Xylene,2020,4369,4369,0,100.0,,,0,
Delhi,Benzene,2015,8759,8759,8759,0.0,0.0,93.34,0,0.0
Delhi,Benzene,2016,8784,8784,8746,0.43,0.0,26.62,0,0.0
Delhi,Benzene,2017,8760,8760,8760,0.0,0.0,64.87,0,0.0
Delhi,Benzene,2018,8760,8760,8760,0.0,0.27,18.69,0,0.0
